id,client_id,exchange_order_id,bot_id,market,symbol,side,type,status,qty,executed_qty,cum_quote,price,stop_price,time_in_force,reduce_only,oco_group,reason,tag,created_at,updated_at
tpx7f8b10camrgg3s3u1,tpx7f8b10camrgg3s3u1,3740325969422852096,7f8b10ca-5241-42ab-9d49-bef031357f43,spot,BTCUSDT,SELL,MARKET,FILLED,0.20151586,0.20151586,0,,,GTC,f,,"Régime baissier (tendance 3d+1d en déclin, ER 0.45, flow 0.46, prix < EMA50) → vente du BTC pour rachat plus bas",entry,1783972800113,1783972800641
tpx7f8b10camrgg3s3u2,tpx7f8b10camrgg3s3u2,3740325983287758848,7f8b10ca-5241-42ab-9d49-bef031357f43,spot,BTCUSDT,BUY,STOP_MARKET,CANCELED,0.1945538,0,0,,63909.1,GTC,f,,Stop : le prix est remonté de 2.5×ATR → rachat pour limiter la perte de BTC,sl,1783972800651,1784044800590
tpx7f8b10camrgg3s3u3,tpx7f8b10camrgg3s3u3,,7f8b10ca-5241-42ab-9d49-bef031357f43,spot,BTCUSDT,BUY,MARKET,REJECTED,0.1930100383890182,0,0,,,GTC,f,,"Rachat sur recroisement EMA50 (vendu 62288 → rachat 64744, -3.9% en BTC)",exit,1784044800590,1784044800935
