id,name,strategy_id,market,symbol,mode,params,allocation,leverage,risk,desired_running,created_at,updated_at,initial_base_qty,adopt_all_base
e2bc323b-89d5-4179-91d5-5c4a66639ecf,"",eth-accumulator,spot,ETHUSDT,live,"{""erLen"": 20, ""erMin"": 0.45, ""emaLen"": 50, ""flowLen"": 10, ""interval"": ""4h"", ""useTrend"": true, ""atrPeriod"": 14, ""maxLossPct"": 5, ""trendMaLen"": 60, ""confirmMode"": ""both"", ""rebuyEmaLen"": 50, ""stopAtrMult"": 2.5, ""confirmMaLen"": 200, ""trendInterval"": ""3d"", ""useFlowFilter"": false, ""trendSlopeBars"": 8, ""confirmSlopeBars"": 30}",0,1,{},f,1783779111950,1783779111950,,t
0c9e1449-a03c-4551-a1ba-fb56ffa2277a,"",btc-vrx,spot,BTCUSDT,live,"{""thIn"": 1.15, ""thOut"": 0.9, ""vrAgg"": 5, ""useGate"": true, ""interval"": ""4h"", ""vrWindow"": 60, ""gateMaLen"": 200, ""maxLossPct"": 0, ""gateInterval"": ""1d"", ""gateSlopeBars"": 30}",0,1,{},f,1783779133915,1783779133915,0.20151586,
7f8b10ca-5241-42ab-9d49-bef031357f43,"",btc-accumulator,spot,BTCUSDT,live,"{""erLen"": 20, ""erMin"": 0.35, ""emaLen"": 50, ""flowLen"": 10, ""interval"": ""4h"", ""useTrend"": true, ""atrPeriod"": 14, ""maxLossPct"": 5, ""trendMaLen"": 60, ""useConfirm"": true, ""rebuyEmaLen"": 50, ""stopAtrMult"": 2.5, ""confirmMaLen"": 200, ""trendInterval"": ""3d"", ""useFlowFilter"": true, ""trendSlopeBars"": 8, ""confirmInterval"": ""1d"", ""confirmSlopeBars"": 30}",0,1,{},f,1783779149284,1783779149284,0.20151586,
